Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
International Journal of Applied Mathematics and Computer Science,INT J AP MAT COM-POL,1641-876X,2083-8492,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1365,2.157,0.53,35.76%,104/145,1.794,Q4,1.635,0.48,108/190,Q3,43.42,0.001,0.187,0.304,28.62,Q3,Q4,50,100%,7.8,7.4,50
Semantic Web,SEMANT WEB,1570-0844,2210-4968,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1355,3.105,0.78,5.97%,79/145,3.819,Q2,3,0.821,76/190,Q2,60.26,0.002,0.448,1.021,45.86,Q3,Q2,39,100%,4.7,7.9,39
INFORMATION SYSTEMS MANAGEMENT,INFORM SYST MANAGE,1058-0530,1934-8703,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1344,3.882,0.83,8.16%,67/164,3.951,Q2,3.763,0.318,94/246,Q2,61.99,0.001,0.182,0.619,59.45,Q2,Q2,22,90.91%,7.4,10.1,20
Data,DATA,NA,2306-5729,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",1330,NA,0.65,96.85%,NA,NA,NA,NA,NA,122/246,Q2,50.61,0.002,0.489,NA,NA,NA,NA,128,94.53%,2.7,6,121
INTELLIGENT AUTOMATION AND SOFT COMPUTING,INTELL AUTOM SOFT CO,1079-8587,2326-005X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1307,3.401,0.42,75.65%,73/145,2.132,Q3,3.035,0.368,125/190,Q3,34.47,0.001,0.218,0.243,50,Q3,Q4,258,99.61%,2.6,4.9,257
International Journal of Computers Communications & Control,INT J COMPUT COMMUN,1841-9836,1841-9844,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1297,2.635,0.64,92.57%,103/164,1.926,Q4,2.452,1.5,125/246,Q3,49.39,0.001,0.16,0.265,37.5,Q3,Q4,60,100%,5.9,5.4,60
International Journal of Bio-Inspired Computation,INT J BIO-INSPIR COM,1758-0366,1758-0374,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1295,3.295,0.81,0%,74/145,2.986,Q3,3.125,0.16,70/190,Q2,63.42,0.001,0.195,0.447,49.31,Q3,Q3,50,100%,6,7.3,50
IEEE Transactions on Cognitive and Developmental Systems,IEEE T COGN DEV SYST,2379-8920,2379-8939,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1276,4.546,0.85,2.94%,54/145,4.096,Q2,4.218,2.129,64/190,Q2,66.58,0.002,0.454,0.857,63.1,Q2,Q2,85,98.82%,2.6,8,84
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE T EM TOP COMP I,2471-285X,2471-285X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1266,4.851,1.15,1.64%,51/145,5.844,Q2,4.099,1.441,36/190,Q1,81.32,0.002,0.436,1.195,65.17,Q2,Q2,143,100%,2.6,6.3,143
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,INT J HIGH PERFORM C,1094-3420,1741-2846,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",1266,2.82,0.49,10.24%,27/54,2.457,Q3,2.68,1.079,39/62,Q3,37.9,0.001,0.303,0.58,50.93,Q2,Q2,38,100%,5.4,6.6,38
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,1533-5399,1557-6051,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1257,3.989,1.07,0%,65/164,3.413,Q3,3.87,2.379,59/246,Q1,76.22,0.002,0.347,0.817,60.67,Q2,Q2,103,99.03%,3.1,4.8,102
Human-centric Computing and Information Sciences,HUM-CENT COMPUT INFO,NA,2192-1962,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1256,6.558,1.61,66.9%,27/164,5.226,Q1,5.842,0.894,24/246,Q1,90.45,0.001,0.285,0.703,83.84,Q1,Q2,47,100%,2.9,3.8,47
Journal of Signal Processing Systems for Signal Image and Video Technology,J SIGNAL PROCESS SYS,1939-8018,1939-8115,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1246,1.813,0.42,13.31%,130/164,1.345,Q4,1.757,1.409,165/246,Q3,33.13,0.001,0.278,0.235,21.04,Q4,Q4,93,100%,3.6,6.1,93
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,J EXP THEOR ARTIF IN,0952-813X,1362-3079,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1240,2.296,0.38,0.94%,100/145,2.466,Q3,2.183,0.4,135/190,Q3,29.21,0.001,0.273,0.415,31.38,Q3,Q3,70,97.14%,4.7,6.1,68
IEEE Transactions on Big Data,IEEE T BIG DATA,2332-7790,2332-7790,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1231,4.271,1.51,8.65%,58/164,NA,NA,4.234,4.115,28/246,Q1,88.82,0.002,0.412,NA,64.94,Q2,NA,78,100%,2,8.3,78
Granular Computing,GRANULAR COMPUT,2364-4966,2364-4974,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",1212,NA,1.47,5.67%,NA,NA,NA,NA,NA,29/190,Q1,85,0.001,0.275,0.833,NA,NA,Q1,104,100%,2.3,7.1,104
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1070-986X,1941-0166,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",1198,3.491,1.09,0%,20/54,4.106,Q2,3.377,0.341,14/62,Q1,78.23,0.001,0.242,0.899,63.89,Q2,Q2,44,100%,7.1,3.9,44
IET Computer Vision,IET COMPUT VIS,1751-9632,1751-9640,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1196,1.484,0.39,28.89%,121/145,1.804,Q4,1.395,0.294,132/190,Q3,30.79,0.001,0.32,0.333,16.9,Q4,Q4,68,100%,4.3,4.7,68
JOURNAL OF COMMUNICATIONS AND NETWORKS,J COMMUN NETW-S KOR,1229-2370,1976-5541,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1188,3.908,0.91,99.22%,66/164,2.541,Q3,3.851,0.19,80/246,Q2,67.68,0.002,0.328,0.546,60.06,Q2,Q3,42,100%,4.9,5.5,42
MULTIMEDIA SYSTEMS,MULTIMEDIA SYST,0942-4962,1432-1882,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1185,2.603,0.62,2.13%,105/164,2.133,Q3,2.205,1.022,128/246,Q3,48.17,0.001,0.217,0.354,36.28,Q3,Q3,136,96.32%,3.8,4.9,131
Natural Computing,NAT COMPUT,1567-7818,1572-9796,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1181,1.504,0.42,15.3%,118/145,1.827,Q4,1.43,1.042,125/190,Q3,34.47,0.001,0.281,0.485,18.97,Q4,Q3,48,100%,6.5,11,48
MINDS AND MACHINES,MIND MACH,0924-6495,1572-8641,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1180,5.339,0.81,50.6%,42/145,4.483,Q2,4.983,0.708,70/190,Q2,63.42,0.002,0.425,1.455,71.38,Q2,Q1,24,100%,4.6,5.9,24
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTON AGENT MULTI-AG,1387-2532,1573-7454,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1157,2.475,0.4,29.03%,95/145,2.288,Q3,2.363,0.659,131/190,Q3,31.32,0.001,0.267,0.685,34.83,Q3,Q2,44,97.73%,8.2,9.1,43
INTEGRATION-THE VLSI JOURNAL,INTEGRATION,0167-9260,1872-7522,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",1157,1.345,0.36,1.99%,46/54,1.317,Q4,1.265,0.57,53/62,Q4,15.32,0.001,0.299,0.255,15.74,Q4,Q4,114,97.37%,4.3,6.7,111
KNOWLEDGE ENGINEERING REVIEW,KNOWL ENG REV,0269-8889,1469-8005,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1145,2.016,0.13,6.67%,106/145,1.774,Q4,1.828,0.455,177/190,Q4,7.11,0,0.092,0.338,27.24,Q3,Q4,11,0%,10.9,8.7,0
ICT Express,ICT EXPRESS,2405-9595,2405-9595,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1131,4.754,1.13,99.53%,50/164,4.088,Q2,4.574,0.82,52/246,Q1,79.07,0.001,0.32,0.629,69.82,Q2,Q2,89,98.88%,2.7,4.7,88
International Journal of Interactive Multimedia and Artificial Intelligence,INT J INTERACT MULTI,1989-1660,1989-1660,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1128,4.936,0.9,100%,48/145,3.73,Q2,4.6,0.628,60/190,Q2,68.68,0.001,0.276,0.522,67.24,Q2,Q3,78,94.87%,2.8,6.5,74
Journal of Grid Computing,J GRID COMPUT,1570-7873,1572-9184,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1120,4.674,1.19,18.66%,53/164,4.038,Q2,3.895,0.813,51/246,Q1,79.47,0.001,0.214,0.564,67.99,Q2,Q3,48,97.92%,3.9,4.3,47
Information Retrieval Journal,INFORM RETRIEVAL J,1386-4564,1573-7659,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1115,2.024,0.62,16.07%,121/164,2.356,Q3,1.902,0.333,128/246,Q3,48.17,0,0.106,0.499,26.52,Q3,Q3,15,93.33%,12.5,6.9,14
Journal of Web Semantics,J WEB SEMANT,1570-8268,1873-7749,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1110,2.77,0.7,15.19%,83/145,2.847,Q3,2.639,0.167,81/190,Q2,57.63,0.001,0.194,0.728,43.1,Q3,Q2,18,94.44%,9,6.7,17
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL,1012-2443,1573-7470,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1087,1.019,0.34,19.39%,134/145,1.154,Q4,1,0.311,145/190,Q4,23.95,0.001,0.181,0.389,7.93,Q4,Q3,61,100%,14.2,11.2,61
INFORMATICA,INFORMATICA-LITHUAN,0868-4952,1822-8844,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1055,3.429,1,79.46%,80/164,2.553,Q3,3.065,1.543,69/246,Q2,72.15,0.001,0.129,0.317,51.52,Q2,Q4,35,97.14%,5.2,5.6,34
Egyptian Informatics Journal,EGYPT INFORM J,1110-8665,2090-4754,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1037,4.195,0.96,93.33%,58/145,4.648,Q2,4.146,2.143,56/190,Q2,70.79,0.001,0.135,0.611,60.34,Q2,Q3,49,89.8%,5,6.9,44
Evolutionary Intelligence,EVOL INTELL,1864-5909,1864-5917,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",1031,NA,0.39,1.09%,NA,NA,NA,NA,NA,132/190,Q3,30.79,0.001,0.182,0.308,NA,NA,Q2,195,97.95%,1.9,6.6,191
KYBERNETIKA,KYBERNETIKA,0023-5954,NA,"COMPUTER SCIENCE, CYBERNETICS - SCIE",1031,0.69,0.14,0%,24/24,0.793,Q4,0.611,0.074,29/32,Q4,10.94,0.001,0.138,0.225,2.08,Q4,Q4,54,100%,14.2,11.9,54
International Journal of Information Security,INT J INF SECUR,1615-5262,1615-5270,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1028,2.427,0.66,17.86%,113/164,2.067,Q4,2.379,0.409,120/246,Q2,51.42,0.001,0.18,0.369,31.4,Q3,Q3,44,100%,6,5.9,44
Swarm Intelligence,SWARM INTELL-US,1935-3812,1935-3820,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1021,3.727,0.98,38.1%,66/145,3.738,Q2,3.182,0.3,55/190,Q2,71.32,0.001,0.112,0.897,54.83,Q2,Q2,20,100%,12.1,8.8,20
ACM Transactions on Interactive Intelligent Systems,ACM T INTERACT INTEL,2160-6455,2160-6463,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1014,1.887,0.42,0%,109/145,5.466,Q2,1.792,0.448,125/190,Q3,34.47,0.002,0.417,1.536,25.17,Q4,Q1,29,96.55%,5.4,7.2,28
Journal of Organizational and End User Computing,J ORGAN END USER COM,1546-2234,1546-5012,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1003,7.4,1.82,64.6%,21/164,6.541,Q1,6.133,0.971,19/246,Q1,92.48,0.001,0.114,0.511,87.5,Q1,Q3,68,97.06%,3.3,7,66
JOURNAL OF AUTOMATED REASONING,J AUTOM REASONING,0168-7433,1573-0670,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",935,1.15,0.32,35.33%,130/145,1.532,Q4,1.047,0.087,147/190,Q4,22.89,0.001,0.304,0.684,10.69,Q4,Q3,23,100%,8,12.2,23
International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,1433-2833,1433-2825,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",930,3.87,0.56,12%,62/145,3.048,Q3,3.652,0.345,99/190,Q3,48.16,0,0.089,0.419,57.59,Q2,Q3,29,100%,8.1,6.1,29
Journal of Electrical and Computer Engineering,J ELECTR COMPUT ENG,2090-0147,2090-0155,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",925,NA,0.38,98.77%,NA,NA,NA,NA,NA,177/246,Q3,28.25,0.001,0.186,0.257,NA,NA,Q2,54,96.3%,4.5,5.3,52
CONNECTION SCIENCE,CONNECT SCI,0954-0091,1360-0494,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",921,NA,0.7,29.37%,NA,NA,NA,NA,NA,81/190,Q2,57.63,0.001,0.131,0.463,NA,NA,Q3,57,100%,5.4,4,57
IET Biometrics,IET BIOMETRICS,2047-4938,2047-4946,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",907,2.716,0.54,37.59%,86/145,2.84,Q3,2.556,0.385,105/190,Q3,45,0.001,0.247,0.51,41.03,Q3,Q3,52,96.15%,3.9,5.4,50
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,1069-2509,1875-8835,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",891,6.137,1.37,2.67%,37/145,4.188,Q2,4.549,0.833,32/190,Q1,83.42,0.001,0.187,0.717,74.83,Q2,Q2,24,100%,4.3,6.1,24
GEOINFORMATICA,GEOINFORMATICA,1384-6175,1573-7624,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",887,2.773,0.71,8.18%,95/164,2.072,Q4,2.533,0.714,111/246,Q2,55.08,0.001,0.154,0.454,42.38,Q3,Q3,35,100%,6.8,6.9,35
International Journal of Critical Infrastructure Protection,INT J CRIT INFR PROT,1874-5482,2212-2087,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",886,3.683,1.02,8.26%,72/164,3.254,Q3,3.524,0.739,64/246,Q2,74.19,0.001,0.148,0.527,56.4,Q2,Q3,46,95.65%,5.2,6.5,44
International Journal of e-Collaboration,INT J E-COLLAB,1548-3673,1548-3681,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",876,NA,0.36,0%,NA,NA,NA,NA,NA,182/246,Q3,26.22,0,0.025,0.157,NA,NA,Q3,23,100%,6.5,6.8,23
Natural Language Engineering,NAT LANG ENG,1351-3249,1469-8110,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",864,1.841,1.12,28%,111/145,2.203,Q3,1.667,0.839,40/190,Q1,79.21,0.001,0.177,0.504,23.79,Q4,Q3,31,96.77%,6.8,8.4,30
ADAPTIVE BEHAVIOR,ADAPT BEHAV,1059-7123,1741-2633,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",853,1.867,0.63,16.44%,110/145,1.899,Q4,1.837,0.25,91/190,Q2,52.37,0.001,0.206,0.598,24.48,Q4,Q3,48,97.92%,8.6,11.7,47
ACM Transactions on the Web,ACM T WEB,1559-1131,1559-114X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",850,3.35,0.82,0%,82/164,2.6,Q3,3.25,0.25,95/246,Q2,61.59,0.001,0.115,0.491,50.3,Q2,Q3,20,95%,9.3,6.6,19
IEEE Transactions on Sustainable Computing,IEEE T SUST COMPUT,2377-3782,2377-3782,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",845,4.908,1.35,1.53%,11/54,5.242,Q1,4.763,2.564,11/62,Q1,83.06,0.001,0.254,0.942,80.56,Q1,Q2,55,100%,2.6,7,55
ACTA INFORMATICA,ACTA INFORM,0001-5903,1432-0525,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",841,0.871,0.22,36.47%,154/164,1.154,Q4,0.774,0.174,209/246,Q4,15.24,0.001,0.142,0.511,6.4,Q4,Q3,23,100%,25.5,13.3,23
CYBERNETICS AND SYSTEMS,CYBERNET SYST,0196-9722,1087-6553,"COMPUTER SCIENCE, CYBERNETICS - SCIE",840,1.859,0.29,2.04%,18/24,1.832,Q4,1.728,0.218,24/32,Q3,26.56,0,0.105,0.27,27.08,Q3,Q4,55,100%,7.6,6.4,55
International Arab Journal of Information Technology,INT ARAB J INF TECHN,1683-3198,1683-3198,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",839,0.967,0.2,48.82%,136/145,0.76,Q4,0.691,0.221,167/190,Q4,12.37,0.001,0.11,0.086,6.55,Q4,Q4,95,98.95%,4.9,6.5,94
Progress in Artificial Intelligence,PROG ARTIF INTELL,2192-6352,2192-6360,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",837,NA,0.35,10.91%,NA,NA,NA,NA,NA,142/190,Q3,25.53,0.001,0.278,0.896,NA,NA,Q1,47,97.87%,5.1,6.3,46
Journal of Internet Technology,J INTERNET TECHNOL,1607-9264,2079-4029,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",829,1.14,0.33,0%,148/164,0.766,Q4,0.964,0.155,187/246,Q4,24.19,0.001,0.168,0.09,10.06,Q4,Q4,142,98.59%,2.7,5.2,140
REQUIREMENTS ENGINEERING,REQUIR ENG,0947-3602,1432-010X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",829,2.275,0.9,26.03%,116/164,2.882,Q3,1.961,0.409,82/246,Q2,66.87,0.001,0.134,0.551,29.57,Q3,Q3,22,95.45%,7.5,8.9,21
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0890-0604,1469-1760,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",826,1.634,0.35,13.4%,116/145,1.453,Q4,1.549,0.231,142/190,Q3,25.53,0.001,0.108,0.311,20.34,Q4,Q4,26,96.15%,10.6,8.6,25
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,1084-4309,1557-7309,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",825,1.447,0.4,0%,44/54,1.412,Q4,1.374,0.4,45/62,Q3,28.23,0.001,0.229,0.34,19.44,Q4,Q4,50,100%,5.4,7,50
Journal of Cloud Computing-Advances Systems and Applications,J CLOUD COMPUT-ADV S,NA,2192-113X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",818,3.418,0.91,100%,81/164,3.895,Q2,3.341,0.667,80/246,Q2,67.68,0.001,0.183,0.552,50.91,Q2,Q3,54,96.3%,3.5,3.9,52
Memetic Computing,MEMET COMPUT,1865-9284,1865-9292,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",814,3.577,1.08,4.82%,70/145,4.331,Q2,3.192,0.839,44/190,Q1,77.11,0.001,0.205,0.773,52.07,Q2,Q2,31,100%,3.7,7,31
CAAI Transactions on Intelligence Technology,CAAI T INTELL TECHNO,2468-6557,2468-2322,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",812,7.985,1.25,90.3%,25/145,6.555,Q1,7.882,0.439,34/190,Q1,82.37,0.001,0.231,0.95,83.1,Q1,Q2,66,93.94%,2.3,5.7,62
NETWORK-COMPUTATION IN NEURAL SYSTEMS,NETWORK-COMP NEURAL,0954-898X,1361-6536,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",804,1.5,0.28,7.69%,119/145,1.129,Q4,1.5,0,156/190,Q4,18.16,0,0.013,0.213,18.28,Q4,Q4,1,100%,20.7,NA,1
Journal of Usability Studies,J USABILITY STUD,1931-3357,1931-3357,"COMPUTER SCIENCE, CYBERNETICS - ESCI",800,NA,0.17,0%,NA,NA,NA,NA,NA,26/32,Q4,20.31,0,0.045,0.317,NA,NA,Q1,14,92.86%,11.6,11.3,13
ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,1544-3566,1544-3973,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",799,1.444,0.4,61.75%,45/54,1.403,Q4,1.282,0.356,45/62,Q3,28.23,0.001,0.204,0.324,17.59,Q4,Q4,59,100%,5.4,7.1,59
ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,1550-4832,1550-4840,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",797,2.013,0.4,0.73%,37/54,2.344,Q3,1.896,0.417,45/62,Q3,28.23,0.001,0.224,0.562,32.41,Q3,Q2,60,100%,4.9,6.1,60
Machine Learning-Science and Technology,MACH LEARN-SCI TECHN,NA,2632-2153,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",791,6.013,1.02,100%,38/145,6.013,Q1,5.65,2.496,50/190,Q2,73.95,0.001,0.299,1.834,74.14,Q2,Q1,119,95.8%,1.2,4.7,114
PHOTONIC NETWORK COMMUNICATIONS,PHOTONIC NETW COMMUN,1387-974X,1572-8188,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",791,1.768,0.52,1.25%,133/164,1.563,Q4,1.688,0.257,145/246,Q3,41.26,0.001,0.173,0.227,19.21,Q4,Q4,35,100%,4,6.7,35
Journal of Information Processing Systems,J INF PROCESS SYST,1976-913X,2092-805X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",790,NA,0.47,0%,NA,NA,NA,NA,NA,152/246,Q3,38.41,0.001,0.18,0.182,NA,NA,Q2,83,100%,3.6,5.1,83
Advances in Computers,ADV COMPUT,0065-2458,NA,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",789,3.067,0.85,0%,24/54,2.706,Q2,3.05,0.63,22/62,Q2,65.32,0.001,0.116,0.449,56.48,Q2,Q3,46,97.83%,7.1,7,45
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,J INF SCI ENG,1016-2364,NA,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",787,1.142,0.21,0%,147/164,0.831,Q4,1.074,0.179,212/246,Q4,14.02,0,0.101,0.114,10.67,Q4,Q4,84,98.81%,6.4,7,83
ARTIFICIAL LIFE,ARTIF LIFE,1064-5462,1530-9185,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",782,1.717,0.38,16.67%,114/145,1.491,Q4,1.696,0.857,135/190,Q3,29.21,0.001,0.121,0.522,21.72,Q4,Q3,14,92.86%,12.7,9.6,13
Aslib Journal of Information Management,ASLIB J INFORM MANAG,2050-3806,1758-3748,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",779,1.935,0.58,1.82%,125/164,2.404,Q3,1.72,0.224,133/246,Q3,46.14,0.001,0.223,0.48,24.09,Q4,Q3,58,96.55%,4.3,6.9,56
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,0218-2130,1793-6349,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",773,1.059,0.21,0%,131/145,1.24,Q4,1.049,0.239,166/190,Q4,12.89,0.001,0.138,0.257,10,Q4,Q4,46,100%,7.2,5.8,46
Big Data Research,BIG DATA RES,2214-5796,2214-5796,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",740,3.739,0.75,12.71%,64/145,4.583,Q2,3.217,0.789,78/190,Q2,59.21,0.001,0.175,0.895,56.21,Q2,Q2,94,100%,4.7,5,94
IET Information Security,IET INFORM SECUR,1751-8709,1751-8717,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",725,1.3,0.37,24.14%,143/164,1.287,Q4,1.288,0.116,179/246,Q3,27.44,0.001,0.195,0.296,13.11,Q4,Q4,43,100%,5,6.3,43
Statistical Analysis and Data Mining,STAT ANAL DATA MIN,1932-1864,1932-1872,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",719,1.247,0.34,12%,128/145,1.867,Q4,1.18,0.197,145/190,Q4,23.95,0.001,0.222,0.655,12.07,Q4,Q3,61,96.72%,6.9,11.2,59
Evolving Systems,EVOL SYST-GER,1868-6478,1868-6486,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",683,2.347,0.53,3.13%,97/145,2.305,Q3,2.223,1,108/190,Q3,43.42,0.001,0.135,0.349,33.45,Q3,Q4,71,95.77%,2.9,7.7,68
Journal of Network and Systems Management,J NETW SYST MANAG,1064-7570,1573-7705,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",674,2.198,0.58,9.52%,119/164,2.1,Q3,1.901,1.478,133/246,Q3,46.14,0.001,0.123,0.288,27.74,Q3,Q4,46,97.83%,3.6,5.6,45
Journal of Computer Security,J COMPUT SECUR,0926-227X,1875-8924,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",670,NA,0.22,3.28%,NA,NA,NA,NA,NA,209/246,Q4,15.24,0,0.055,0.247,NA,NA,Q2,19,94.74%,11,7.2,18
Entertainment Computing,ENTERTAIN COMPUT,1875-9521,1875-953X,"COMPUTER SCIENCE, CYBERNETICS - SCIE",668,2.072,0.46,13.79%,17/24,2.011,Q3,1.855,0.75,16/32,Q2,51.56,0.001,0.117,0.313,31.25,Q3,Q4,76,86.84%,4.4,7.8,66
INFOR,INFOR,0315-5986,1916-0615,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",667,1.047,0.33,2.41%,149/164,1.441,Q4,0.984,0.053,187/246,Q4,24.19,0,0.085,0.353,9.45,Q4,Q3,19,100%,14.8,7.9,19
Journal of Computer Virology and Hacking Techniques,J COMPUT VIROL HACKI,2263-8733,2263-8733,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",654,NA,0.74,12.64%,NA,NA,NA,NA,NA,108/246,Q2,56.3,0,0.103,0.423,NA,NA,Q2,37,100%,5.4,7.7,37
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,J ORG COMP ELECT COM,1091-9392,1532-7744,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",654,2.237,0.56,4.08%,118/164,2.948,Q3,2.026,0.727,138/246,Q3,44.11,0,0.093,0.472,28.35,Q3,Q3,11,100%,7,6.9,11
